Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.eu.fhir.gh.json	186349	-	0	0	0	0	0	0	19	270	0	0	0	0	0	0	0	4	0	0	761	898	0	0	0	1	20	0	3
fsh-generated/resources/AdministrableProductDefinition-adminprodcarbamazepine200.json	1151	9	1	0	0	0	0	0	0	442	0	0	0	0	0	0	0	0	0	0	15	10	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-adminprodherceptin150.json	1139	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-adminprodsimvastatin20.json	1142	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-04c9bd6fb89d38b2d83eced2460c4dc1.json	1583	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	15	7	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-08ac066220d4d68a3933a9c94bef32ff.json	1534	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-1a7318638ddbbeb084ef416e717b6fdb.json	1548	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-29436a85dac3ea374adb3fa64cfd2578.json	1547	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-2f37d696067eeb6daf1111cfc3272672.json	1547	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-49178f16170ee8a6bc2a4361c1748d5f.json	1538	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-4fab126d28f65a1084e7b50a23200363.json	1561	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-534e209eb0a3ff60437639cb2015316f.json	1534	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-5af3df1132d20d744a88dab06e924e5e.json	1555	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-635d47ee543a5a9e15fcd321ee5fe6bb.json	1540	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-6a3c9768548036f502739419bacb2482.json	1534	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-7f657b63823319aa7da7d2c5939e39e5.json	1567	6	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-865e1b5617e6fb0d453cc2f7cf87d441.json	1534	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-925dad38f0afbba36223a82b3a766438.json	1547	4	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-94a96e39cfdcd8b378d12dd4063065f9.json	1548	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-9b5b17469311c2ea4d1d08419748b4fb.json	1548	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	11	7	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-a38f06714db0c27b2ba704652e3f08c5.json	1565	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-af1953635c28668e0d454e0740fcb36f.json	1534	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-b5a6ac2496348cb06663deb81c55cb37.json	1560	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-da0fc2395ce219262dfd4f0c9a9f72e1.json	1534	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-dcaa4d32aa6658a8df831551503e52ee.json	1547	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0	0
fsh-generated/resources/AdministrableProductDefinition-ap-e0d9ad275c19f6e91c9365529421d5a8.json	1554	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	7	0	0	0	0	0	0	0
